Joan Jett and the Blackhearts	I Love Rock N Roll	https://youtu.be/ytRWEdjf9lk?t=1
Bon Jovi	You Give Love A Bad Name	https://youtu.be/ytRWEdjf9lk?t=187
Phil Collins	In The Air Tonight	https://youtu.be/ytRWEdjf9lk?t=427
Toto	Africa	https://youtu.be/ytRWEdjf9lk?t=764
Kenny Loggins	Footloose	https://youtu.be/ytRWEdjf9lk?t=1074
Creedence Clearwater Revival	Have You Ever Seen The Rain	https://youtu.be/ytRWEdjf9lk?t=1302
David Bowie	Let's Dance	https://youtu.be/ytRWEdjf9lk?t=1469
Queen	Radio Ga-Ga	https://youtu.be/ytRWEdjf9lk?t=1735
The Police	Roxanne	https://youtu.be/ytRWEdjf9lk?t=2095
Bryan Adams	Summer of '69	https://youtu.be/ytRWEdjf9lk?t=2290
Billy Joel	Uptown Girl	https://youtu.be/ytRWEdjf9lk?t=2518
Survivor	Eye of the Tiger	https://youtu.be/ytRWEdjf9lk?t=2723
REO Speedwagon	Can't Fight This Feeling	https://youtu.be/ytRWEdjf9lk?t=2973
The Bangles	Walk Like An Egyptian	https://youtu.be/ytRWEdjf9lk?t=3259
The Romantics	What I Like About You	https://youtu.be/ytRWEdjf9lk?t=3465
Pat Benatar	Hit Me With Your Best Shot	https://youtu.be/ytRWEdjf9lk?t=3654
Cyndi Lauper	Girls Just Wanna Have Fun	https://youtu.be/ytRWEdjf9lk?t=3825
Madonna	Like A Virgin	https://youtu.be/ytRWEdjf9lk?t=4072
Poison	Every Rose Has Its Thorn	https://youtu.be/ytRWEdjf9lk?t=4301
Rick James	Super Freak	https://youtu.be/ytRWEdjf9lk?t=4559
Lionel Richie	Hello	https://youtu.be/ytRWEdjf9lk?t=4773
Whitney Houston	I Wanna Dance With Somebody	https://youtu.be/ytRWEdjf9lk?t=5019
A-Ha	Take On Me	https://youtu.be/ytRWEdjf9lk?t=5299
The B-52s	Love Shack (duet)	https://youtu.be/ytRWEdjf9lk?t=5539
Culture Club	Karma Chameleon	https://youtu.be/ytRWEdjf9lk?t=5866
Toni Basil	Mickey	https://youtu.be/ytRWEdjf9lk?t=6111
Air Supply	All Out Of Love	https://youtu.be/ytRWEdjf9lk?t=6320
Tiffany	I Think We're Alone Now	https://youtu.be/ytRWEdjf9lk?t=6565
Celine Dion	It's All Coming Back To Me Now	https://youtu.be/ytRWEdjf9lk?t=6811
Madness	Our House	https://youtu.be/ytRWEdjf9lk?t=7144
Cyndi Lauper	Time After Time	https://youtu.be/ytRWEdjf9lk?t=7352
Bonnie Tyler	Total Eclipse Of The Heart	https://youtu.be/ytRWEdjf9lk?t=7594
Monty Python	No one expects the Spanish Inquisition	https://youtu.be/ytRWEdjf9lk?t=7930
Starship	We Built This City (duet)	https://youtu.be/ytRWEdjf9lk?t=8156
Dexys Midnight Runners	Come On Eileen	https://youtu.be/ytRWEdjf9lk?t=8464
Cher	If I Could Turn Back Time	https://youtu.be/ytRWEdjf9lk?t=8720
Josh Turner	Your Man	https://youtu.be/ytRWEdjf9lk?t=8981
Bill Medley and Jennifer Warnes	(I've Had) The Time Of My Life (duet)	https://youtu.be/ytRWEdjf9lk?t=9199
Heart	Alone	https://youtu.be/ytRWEdjf9lk?t=9498
Heart	What About Love?	https://youtu.be/ytRWEdjf9lk?t=9723
Living Colour	Cult Of Personality	https://youtu.be/ytRWEdjf9lk?t=9951
